Unnamed: 0,weight,prod_distance,time_delivery,target
2033,19.0,2680.0,2.0,574806.6076797519
1233,46.0,2074.0,2.0,642031.5212369472
1657,64.0,2913.0,6.0,793390.5704500827
3278,1.0,1731.0,8.0,486723.602182472
2203,1.0,2680.0,14.0,489076.2076797519
4289,28.0,1783.0,11.0,601628.3058336186
1441,73.0,2231.0,4.0,714360.2340008646
875,37.0,2105.0,14.0,606846.2537311212
4751,46.0,2488.0,6.0,649061.8524644242
30,82.0,1467.0,7.0,798736.4702069425
4521,46.0,1797.0,4.0,667334.9381415535
2101,19.0,1567.0,1.0,589098.9949412772
1507,64.0,1928.0,7.0,707911.8691183892
94,10.0,1161.0,4.0,556675.6449294311
4092,82.0,1459.0,13.0,798220.2239110986
1523,64.0,1237.0,9.0,760255.6318052801
3128,37.0,2936.0,11.0,713193.7708572765
4468,55.0,1567.0,3.0,721639.1149412772
4741,55.0,2163.0,3.0,666737.7825970788
1431,46.0,1734.0,13.0,673143.3166874629
1994,46.0,2796.0,1.0,705551.8812148325
626,82.0,2163.0,2.0,735784.7925970787
4116,1.0,2043.0,9.0,455490.35272441007
4510,37.0,1335.0,10.0,675093.2653672725
2314,73.0,2074.0,5.0,719568.5012369471
2589,37.0,2796.0,13.0,672234.2412148325
231,46.0,1772.0,3.0,670232.4733498312
4135,28.0,2501.0,10.0,583451.0699192637
2337,10.0,2163.0,6.0,493171.43259707873
3543,73.0,2501.0,3.0,728585.5199192637
2751,55.0,1567.0,9.0,720991.1149412772
2189,1.0,2471.0,8.0,459007.0523521411
4574,19.0,2471.0,10.0,542647.832352141
427,37.0,1797.0,5.0,635538.2081415536
3830,10.0,2936.0,5.0,601107.0508572765
2656,73.0,2913.0,4.0,816638.7404500827
107,37.0,2043.0,1.0,612321.8327244101
701,37.0,2231.0,7.0,604540.0740008645
1445,73.0,2074.0,9.0,719064.5012369471
874,10.0,2074.0,7.0,497167.8812369472
4016,28.0,2700.0,6.0,616260.1314326305
1654,82.0,2135.0,5.0,736586.8579669729
1900,37.0,2098.0,13.0,607450.7253577651
2381,1.0,1567.0,9.0,504576.9349412772
4010,37.0,1772.0,5.0,638374.9933498312
4106,55.0,2501.0,7.0,679247.3399192637
3616,10.0,1346.0,12.0,561972.2169504637
577,1.0,2680.0,9.0,490111.2076797519
2471,46.0,1567.0,2.0,692905.0849412772
1250,1.0,1467.0,13.0,512482.20020694257
4474,28.0,2913.0,1.0,672272.8904500827
674,37.0,1783.0,8.0,636771.7758336186
587,55.0,1772.0,7.0,698669.9533498312
